,SRC,DEST,FREQ,NormFreq
0,15,17,13,0.0006594785091854292
1,15,21,16,0.0008116658574589898
2,15,48,16,0.0008116658574589898
3,15,50,23,0.001166769670097298
4,15,63,19,0.0009638532057325504
5,15,66,12,0.0006087493930942424
6,15,80,22,0.001116040554006111
7,15,102,15,0.0007609367413678029
8,15,105,13,0.0006594785091854292
9,15,116,18,0.0009131240896413635
10,15,118,26,0.0013189570183708584
11,15,119,15,0.0007609367413678029
12,15,122,17,0.0008623949735501767
13,15,134,23,0.001166769670097298
14,15,150,23,0.001166769670097298
15,15,153,20,0.0010145823218237373
16,15,154,21,0.0010653114379149242
17,15,179,23,0.001166769670097298
18,15,209,15,0.0007609367413678029
19,15,240,12,0.0006087493930942424
20,15,271,21,0.0010653114379149242
21,15,275,19,0.0009638532057325504
22,15,285,22,0.001116040554006111
23,15,335,26,0.0013189570183708584
24,15,431,12,0.0006087493930942424
25,15,448,13,0.0006594785091854292
26,15,481,12,0.0006087493930942424
27,15,492,19,0.0009638532057325504
28,15,494,18,0.0009131240896413635
29,15,499,15,0.0007609367413678029
30,15,511,23,0.001166769670097298
31,15,601,21,0.0010653114379149242
32,15,709,6,0.0003043746965471212
33,15,762,26,0.0013189570183708584
34,15,765,24,0.0012174987861884848
35,15,771,19,0.0009638532057325504
36,15,782,16,0.0008116658574589898
37,15,804,1,5.072911609118686e-05
38,15,875,18,0.0009131240896413635
39,15,938,19,0.0009638532057325504
40,15,939,32,0.0016233317149179796
41,15,987,12,0.0006087493930942424
42,17,50,40,0.0020291646436474747
43,17,63,19,0.0009638532057325504
44,17,105,30,0.0015218734827356058
45,17,118,19,0.0009638532057325504
46,17,119,37,0.0018769772953739139
47,17,122,14,0.0007102076252766161
48,17,150,21,0.0010653114379149242
49,17,153,22,0.001116040554006111
50,17,154,26,0.0013189570183708584
51,17,240,14,0.0007102076252766161
52,17,271,23,0.001166769670097298
53,17,275,25,0.0012682279022796716
54,17,285,27,0.0013696861344620454
55,17,335,164,0.008319575038954646
56,17,431,19,0.0009638532057325504
57,17,448,18,0.0009131240896413635
58,17,481,38,0.0019277064114651009
59,17,492,25,0.0012682279022796716
60,17,499,28,0.0014204152505532322
61,17,601,23,0.001166769670097298
62,17,771,15,0.0007609367413678029
63,17,782,15,0.0007609367413678029
64,17,784,14,0.0007102076252766161
65,17,804,14,0.0007102076252766161
66,21,17,71,0.0036017672424742673
67,21,48,121,0.0061382230470336105
68,21,50,39,0.001978435527556288
69,21,63,28,0.0014204152505532322
70,21,66,88,0.004464162216024444
71,21,101,2,0.00010145823218237373
72,21,102,110,0.005580202770030555
73,21,105,42,0.0021306228758298483
74,21,118,18,0.0009131240896413635
75,21,119,61,0.003094476081562399
76,21,122,17,0.0008623949735501767
77,21,134,42,0.0021306228758298483
78,21,150,98,0.004971453376936313
79,21,153,31,0.0015726025988267928
80,21,154,23,0.001166769670097298
81,21,240,232,0.011769154933155352
82,21,271,25,0.0012682279022796716
83,21,275,15,0.0007609367413678029
84,21,285,73,0.003703225474656641
85,21,335,75,0.003804683706839015
86,21,431,56,0.0028408305011064644
87,21,448,25,0.0012682279022796716
88,21,481,18,0.0009131240896413635
89,21,492,28,0.0014204152505532322
90,21,499,35,0.0017755190631915403
91,21,511,56,0.0028408305011064644
92,21,601,21,0.0010653114379149242
93,21,709,1,5.072911609118686e-05
94,21,762,58,0.002942288733288838
95,21,771,20,0.0010145823218237373
96,21,782,23,0.001166769670097298
97,21,784,8,0.0004058329287294949
98,21,804,5,0.00025364558045593434
99,29,15,34,0.0017247899471003534
100,29,17,49,0.0024857266884681564
101,29,21,48,0.0024349975723769695
102,29,39,183,0.009283428244687196
103,29,48,49,0.0024857266884681564
104,29,50,39,0.001978435527556288
105,29,56,413,0.020951124945660173
106,29,63,40,0.0020291646436474747
107,29,66,17,0.0008623949735501767
108,29,79,1888,0.0957765711801608
109,29,80,29,0.001471144366644419
110,29,87,1,5.072911609118686e-05
111,29,95,195,0.009892177637781439
112,29,101,4,0.00020291646436474745
113,29,102,32,0.0016233317149179796
114,29,105,52,0.0026379140367417168
115,29,113,901,0.04570693359815937
116,29,116,44,0.002232081108012222
117,29,118,38,0.0019277064114651009
118,29,119,34,0.0017247899471003534
119,29,120,64,0.0032466634298359593
120,29,122,25,0.0012682279022796716
121,29,123,322,0.01633477538136217
122,29,132,31,0.0015726025988267928
123,29,134,49,0.0024857266884681564
124,29,150,28,0.0014204152505532322
125,29,153,23,0.001166769670097298
126,29,154,30,0.0015218734827356058
127,29,164,442,0.022422269312304594
128,29,179,34,0.0017247899471003534
129,29,181,38,0.0019277064114651009
130,29,194,70,0.0035510381263830805
131,29,196,53,0.0026886431528329036
132,29,205,53,0.0026886431528329036
133,29,209,22,0.001116040554006111
134,29,211,5,0.00025364558045593434
135,29,213,1,5.072911609118686e-05
136,29,222,108,0.005478744537848182
137,29,223,126,0.006391868627489545
138,29,240,15,0.0007609367413678029
139,29,242,49,0.0024857266884681564
140,29,267,138,0.007000618020583787
141,29,271,18,0.0009131240896413635
142,29,272,28,0.0014204152505532322
143,29,275,33,0.0016740608310091664
144,29,285,47,0.0023842684562857827
145,29,311,542,0.02749518092142328
146,29,335,43,0.002181351991921035
147,29,374,28,0.0014204152505532322
148,29,431,32,0.0016233317149179796
149,29,448,32,0.0016233317149179796
150,29,481,48,0.0024349975723769695
151,29,492,48,0.0024349975723769695
152,29,494,47,0.0023842684562857827
153,29,496,135,0.0068484306723102266
154,29,499,20,0.0010145823218237373
155,29,511,34,0.0017247899471003534
156,29,601,33,0.0016740608310091664
157,29,603,508,0.025770390974322925
158,29,662,63,0.0031959343137447725
159,29,762,45,0.0022828102241034087
160,29,765,49,0.0024857266884681564
161,29,771,21,0.0010653114379149242
162,29,779,47,0.0023842684562857827
163,29,782,24,0.0012174987861884848
164,29,784,2,0.00010145823218237373
165,29,786,40,0.0020291646436474747
166,29,791,74,0.0037539545907478277
167,29,804,15,0.0007609367413678029
168,29,819,39,0.001978435527556288
169,29,875,67,0.0033988507781095197
170,29,938,28,0.0014204152505532322
171,29,939,68,0.003449579894200707
172,29,987,108,0.005478744537848182
173,35,15,19,0.0009638532057325504
174,35,17,19,0.0009638532057325504
175,35,21,22,0.001116040554006111
176,35,29,25,0.0012682279022796716
177,35,39,98,0.004971453376936313
178,35,48,17,0.0008623949735501767
179,35,50,21,0.0010653114379149242
180,35,56,41,0.0020798937597386615
181,35,63,24,0.0012174987861884848
